record_id,visit_date,month,season,region,state,city,attraction,origin_country,party_type,party_size,accommodation,purpose,stay_nights,avg_spend_usd_per_person,satisfaction_rating_1_5
36,2018-01-10,1,Winter,Northeast,VT,Vermont (Stowe),Fall Foliage / Skiing,Other,Group,1,Hotel,Leisure,4,135.99,4.9
37,2019-01-20,1,Winter,West,AZ,Grand Canyon,Grand Canyon National Park,United States,Solo,5,Vacation Rental,Leisure,1,94.54,3.6
38,2019-03-25,3,Spring,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Family,1,Resort,Leisure,6,209.04,5.0
39,2019-03-11,3,Spring,Northeast,DC,Washington DC,National Mall / Museums,France,Family,4,Resort,Leisure,4,180.75,5.0
40,2025-10-03,10,Autumn,West,CA,Los Angeles,Hollywood / Beaches,United States,Couple,3,Hotel,Leisure,1,152.18,4.5
41,2023-03-03,3,Spring,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Family,1,Hotel,Leisure,1,147.54,4.1
42,2021-01-06,1,Winter,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Couple,1,Hotel,Leisure,2,240.44,3.7
43,2018-10-30,10,Autumn,Northeast,NY,Niagara Falls,Niagara Falls,United States,Couple,2,Resort,Leisure,4,125.84,3.6
44,2021-04-30,4,Spring,South,FL,Miami,South Beach / Art Deco,United States,Couple,1,Hotel,Leisure,1,200.37,4.7
45,2018-03-08,3,Spring,Northeast,DC,Washington DC,National Mall / Museums,United States,Couple,4,Hotel,Leisure,4,160.69,3.4
46,2024-07-25,7,Summer,West,WY,Yellowstone,Yellowstone National Park,United States,Group,1,Hotel,Leisure,2,111.25,4.7
47,2020-08-04,8,Summer,South,FL,Orlando,Walt Disney World / Universal Studios,Canada,Family,3,Friends/Family,Leisure,4,180.58,3.7
48,2023-07-20,7,Summer,West,CA,Yosemite,Yosemite National Park,United States,Couple,3,Resort,Leisure,1,127.67,3.6
49,2021-01-23,1,Winter,Midwest,IL,Chicago,Millennium Park / Navy Pier,Other,Family,1,Resort,Event/Conference,1,224.4,5.0
50,2020-05-22,5,Spring,West,CA,Los Angeles,Hollywood / Beaches,United Kingdom,Family,2,Resort,Visiting Friends/Family,4,223.14,4.7
51,2019-07-29,7,Summer,South,FL,Miami,South Beach / Art Deco,United States,Solo,4,Hotel,Event/Conference,2,214.2,4.9
52,2021-06-08,6,Summer,South,FL,Miami,South Beach / Art Deco,United States,Group,3,Hotel,Leisure,2,83.37,4.6
53,2023-08-25,8,Summer,West,AZ,Grand Canyon,Grand Canyon National Park,Canada,Solo,2,Resort,Leisure,2,66.64,5.0
54,2024-06-07,6,Summer,West,AZ,Grand Canyon,Grand Canyon National Park,United States,Group,1,Hotel,Leisure,3,101.92,5.0
55,2018-02-20,2,Winter,Northeast,NY,New York City,Statue of Liberty / Times Square,United Kingdom,Group,2,Friends/Family,Business,4,213.24,4.1
56,2024-06-18,6,Summer,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Couple,3,Hotel,Leisure,2,215.87,4.0
57,2019-12-11,12,Winter,West,WY,Yellowstone,Yellowstone National Park,United States,Couple,2,Hotel,Leisure,5,95.54,3.5
58,2024-10-18,10,Autumn,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Group,1,Hotel,Leisure,1,215.34,5.0
59,2020-09-14,9,Autumn,South,FL,Miami,South Beach / Art Deco,United States,Couple,1,Hotel,Leisure,8,112.93,4.4
60,2022-11-26,11,Autumn,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Solo,2,Hotel,Leisure,4,131.35,4.6
61,2020-08-01,8,Summer,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Family,2,Vacation Rental,Leisure,5,259.26,3.8
62,2020-12-12,12,Winter,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Group,1,Vacation Rental,Leisure,3,247.7,3.2
63,2022-11-17,11,Autumn,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Couple,1,Hostel,Leisure,5,196.55,2.7
64,2018-12-08,12,Winter,Northeast,MA,Boston,Freedom Trail / Harvard,United States,Group,4,Hostel,Leisure,2,237.18,3.8
65,2021-10-26,10,Autumn,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Couple,1,Resort,Leisure,5,214.02,4.3
66,2018-12-31,12,Winter,West,WY,Yellowstone,Yellowstone National Park,United States,Family,2,Hotel,Leisure,2,120.0,3.8
67,2020-11-06,11,Autumn,West,CA,Los Angeles,Hollywood / Beaches,Other,Couple,1,Vacation Rental,Leisure,5,232.55,4.3
68,2018-09-07,9,Autumn,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Solo,2,Hotel,Business,1,241.05,2.6
69,2021-03-28,3,Spring,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Family,3,Hotel,Leisure,5,189.09,4.8
70,2019-06-30,6,Summer,West,AZ,Grand Canyon,Grand Canyon National Park,United States,Group,5,Hotel,Leisure,7,110.99,3.7
71,2024-06-29,6,Summer,West,NV,Las Vegas,The Strip / Casinos / Shows,United Kingdom,Family,2,Hotel,Leisure,3,213.7,4.2
72,2018-01-11,1,Winter,West,WA,Seattle,Pike Place / Space Needle,France,Group,1,Hotel,Business,2,193.59,3.9
73,2024-12-28,12,Winter,Northeast,NY,New York City,Statue of Liberty / Times Square,India,Couple,1,Friends/Family,Visiting Friends/Family,4,197.98,4.5
74,2020-02-20,2,Winter,West,CA,Los Angeles,Hollywood / Beaches,United States,Couple,2,Vacation Rental,Leisure,6,200.71,3.7
75,2024-07-03,7,Summer,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Solo,2,Vacation Rental,Education/Research,2,238.7,4.7
76,2023-09-19,9,Autumn,Northeast,DC,Washington DC,National Mall / Museums,United States,Couple,8,Resort,Business,3,182.06,4.3
77,2022-04-24,4,Spring,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Family,2,Hotel,Leisure,5,245.33,4.0
78,2021-06-01,6,Summer,South,FL,Miami,South Beach / Art Deco,China,Couple,1,Vacation Rental,Leisure,5,162.14,5.0
79,2020-08-05,8,Summer,Midwest,IL,Chicago,Millennium Park / Navy Pier,United Kingdom,Solo,1,Hotel,Leisure,5,138.51,4.1
80,2024-01-14,1,Winter,West,CA,Los Angeles,Hollywood / Beaches,United States,Family,2,Vacation Rental,Event/Conference,0,232.62,4.3
81,2018-03-25,3,Spring,West,WA,Seattle,Pike Place / Space Needle,United States,Couple,3,Hotel,Leisure,5,217.14,4.5
82,2022-09-06,9,Autumn,West,CA,Los Angeles,Hollywood / Beaches,United States,Solo,4,Hotel,Leisure,4,233.34,3.6
83,2024-08-30,8,Summer,West,NV,Las Vegas,The Strip / Casinos / Shows,Canada,Couple,1,Hotel,Leisure,5,198.79,3.9
84,2024-09-14,9,Autumn,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Family,1,Hotel,Leisure,3,313.95,4.3
85,2025-03-21,3,Spring,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Couple,1,Hotel,Leisure,2,267.22,3.7
86,2023-04-10,4,Spring,Northeast,DC,Washington DC,National Mall / Museums,United States,Family,4,Vacation Rental,Leisure,5,270.07,3.9
87,2022-04-10,4,Spring,Midwest,IL,Chicago,Millennium Park / Navy Pier,Germany,Solo,2,Vacation Rental,Leisure,3,143.61,4.5
88,2023-11-11,11,Autumn,Northeast,DC,Washington DC,National Mall / Museums,United States,Solo,3,Vacation Rental,Leisure,5,186.06,4.0
89,2024-07-10,7,Summer,Midwest,IL,Chicago,Millennium Park / Navy Pier,France,Couple,3,Resort,Leisure,4,216.19,4.0
90,2024-06-23,6,Summer,West,WY,Yellowstone,Yellowstone National Park,United States,Couple,3,Resort,Leisure,2,185.79,5.0
91,2024-05-23,5,Spring,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Solo,1,Hotel,Business,3,209.95,4.0
92,2023-05-11,5,Spring,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Couple,4,Hotel,Leisure,2,259.32,3.9
93,2024-12-07,12,Winter,South,FL,Orlando,Walt Disney World / Universal Studios,Other,Couple,1,Hotel,Education/Research,1,186.27,4.5
94,2021-05-31,5,Spring,West,WA,Seattle,Pike Place / Space Needle,United States,Couple,2,Hotel,Leisure,3,163.96,4.5
95,2022-02-27,2,Winter,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Family,6,Hotel,Event/Conference,4,161.42,4.4
96,2020-10-06,10,Autumn,Northeast,DC,Washington DC,National Mall / Museums,United States,Couple,3,Hotel,Leisure,7,120.22,3.7
97,2025-08-04,8,Summer,Northeast,DC,Washington DC,National Mall / Museums,United States,Couple,2,Hotel,Leisure,2,268.0,4.8
98,2020-10-23,10,Autumn,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Group,3,Hotel,Leisure,2,281.22,4.4
99,2024-10-10,10,Autumn,Northeast,MA,Boston,Freedom Trail / Harvard,United States,Solo,1,Resort,Visiting Friends/Family,2,200.08,4.5
100,2023-04-01,4,Spring,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Couple,4,Resort,Leisure,4,216.23,4.5
101,2019-03-21,3,Spring,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Group,3,Resort,Event/Conference,4,129.87,5.0
102,2025-03-16,3,Spring,West,CA,Los Angeles,Hollywood / Beaches,India,Family,1,Resort,Visiting Friends/Family,4,186.52,3.8
103,2019-11-04,11,Autumn,West,WA,Seattle,Pike Place / Space Needle,United States,Solo,1,Resort,Leisure,2,195.59,5.0
104,2023-01-01,1,Winter,Northeast,NY,Niagara Falls,Niagara Falls,United States,Family,3,Hotel,Business,4,166.75,5.0
105,2021-10-08,10,Autumn,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Couple,1,Hotel,Leisure,5,162.58,3.5
106,2025-08-06,8,Summer,Northeast,DC,Washington DC,National Mall / Museums,United States,Couple,3,Hotel,Event/Conference,3,249.33,4.0
107,2021-11-24,11,Autumn,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Family,2,Hotel,Education/Research,5,217.03,4.4
108,2022-03-04,3,Spring,West,CA,Los Angeles,Hollywood / Beaches,United Kingdom,Solo,1,Hotel,Leisure,4,230.4,5.0
109,2023-12-31,12,Winter,Northeast,VT,Vermont (Stowe),Fall Foliage / Skiing,Other,Group,2,Vacation Rental,Leisure,5,98.42,4.0
110,2022-12-17,12,Winter,Northeast,DC,Washington DC,National Mall / Museums,United States,Group,2,Resort,Leisure,6,235.16,2.2
111,2023-06-03,6,Summer,West,NV,Las Vegas,The Strip / Casinos / Shows,India,Solo,4,Hotel,Leisure,3,171.87,3.8
112,2019-11-21,11,Autumn,West,WY,Yellowstone,Yellowstone National Park,United States,Family,2,Hotel,Leisure,2,135.22,4.2
113,2021-10-14,10,Autumn,West,CA,Los Angeles,Hollywood / Beaches,United States,Solo,4,Resort,Leisure,2,231.96,4.1
114,2022-05-17,5,Spring,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Solo,2,Hotel,Leisure,0,150.29,4.2
115,2019-12-04,12,Winter,South,FL,Miami,South Beach / Art Deco,United States,Couple,1,Vacation Rental,Leisure,6,203.84,3.8
116,2019-07-26,7,Summer,West,CA,Yosemite,Yosemite National Park,United States,Couple,4,Hotel,Leisure,4,129.02,4.4
117,2018-03-28,3,Spring,Northeast,NY,New York City,Statue of Liberty / Times Square,United Kingdom,Solo,1,Hotel,Event/Conference,3,292.52,4.9
118,2024-10-25,10,Autumn,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Family,2,Hotel,Event/Conference,4,192.65,3.6
119,2024-01-26,1,Winter,West,CA,Los Angeles,Hollywood / Beaches,Other,Couple,2,Hotel,Leisure,4,166.48,4.3
120,2020-04-25,4,Spring,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Family,2,Hotel,Visiting Friends/Family,6,215.7,5.0
121,2024-04-04,4,Spring,West,CA,Los Angeles,Hollywood / Beaches,India,Family,1,Friends/Family,Event/Conference,0,205.05,4.1
122,2018-10-10,10,Autumn,Northeast,MA,Boston,Freedom Trail / Harvard,Other,Couple,1,Hotel,Business,2,262.6,4.3
123,2023-12-24,12,Winter,West,AZ,Grand Canyon,Grand Canyon National Park,United States,Solo,3,Hotel,Business,4,155.9,3.8
124,2025-03-30,3,Spring,South,FL,Miami,South Beach / Art Deco,China,Family,1,Resort,Business,5,264.28,3.4
125,2020-10-10,10,Autumn,West,CA,Los Angeles,Hollywood / Beaches,United States,Couple,2,Resort,Leisure,2,326.25,4.0
126,2018-12-02,12,Winter,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Family,1,Hotel,Leisure,1,318.14,3.3
127,2019-10-26,10,Autumn,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Family,3,Hotel,Leisure,1,201.6,3.4
128,2020-08-28,8,Summer,Northeast,MA,Boston,Freedom Trail / Harvard,United Kingdom,Couple,1,Hotel,Leisure,6,247.69,5.0
129,2025-07-20,7,Summer,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Couple,2,Vacation Rental,Business,3,198.62,5.0
130,2025-04-13,4,Spring,West,AZ,Grand Canyon,Grand Canyon National Park,India,Solo,1,Vacation Rental,Leisure,2,90.71,3.7
131,2018-09-27,9,Autumn,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Couple,3,Hotel,Leisure,2,78.79,4.7
132,2025-05-10,5,Spring,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Family,1,Vacation Rental,Leisure,5,181.83,4.6
133,2019-01-06,1,Winter,West,CA,San Francisco,Golden Gate / Alcatraz,Other,Family,1,Hotel,Leisure,4,254.66,4.6
134,2018-06-26,6,Summer,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Solo,2,Camping,Business,4,251.3,3.8
135,2019-09-03,9,Autumn,West,CA,Los Angeles,Hollywood / Beaches,United States,Family,1,Hotel,Leisure,6,226.67,4.2
136,2019-03-23,3,Spring,West,CA,Los Angeles,Hollywood / Beaches,United States,Solo,1,Hotel,Business,3,138.74,4.0
137,2018-01-08,1,Winter,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Family,3,Hostel,Leisure,3,164.94,4.0
138,2019-09-05,9,Autumn,South,FL,Orlando,Walt Disney World / Universal Studios,United Kingdom,Family,4,Resort,Leisure,3,197.54,3.7
139,2024-02-22,2,Winter,Northeast,NY,New York City,Statue of Liberty / Times Square,United Kingdom,Group,1,Resort,Leisure,5,239.66,5.0
140,2021-06-03,6,Summer,West,CA,San Francisco,Golden Gate / Alcatraz,Canada,Group,1,Hotel,Leisure,4,164.33,5.0
141,2024-05-09,5,Spring,Midwest,IL,Chicago,Millennium Park / Navy Pier,China,Couple,2,Resort,Leisure,1,214.16,4.0
142,2020-08-25,8,Summer,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Solo,2,Hotel,Leisure,4,192.7,4.6
143,2024-03-16,3,Spring,West,WA,Seattle,Pike Place / Space Needle,United States,Solo,3,Hotel,Event/Conference,1,188.91,4.5
144,2018-03-24,3,Spring,West,WA,Seattle,Pike Place / Space Needle,Other,Family,5,Hotel,Leisure,2,194.01,4.1
145,2025-06-13,6,Summer,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Couple,2,Resort,Leisure,6,295.89,3.8
146,2020-11-24,11,Autumn,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Family,2,Hotel,Leisure,2,217.63,4.3
147,2024-01-31,1,Winter,Northeast,VT,Vermont (Stowe),Fall Foliage / Skiing,India,Family,4,Resort,Leisure,2,215.98,4.1
148,2021-03-31,3,Spring,West,CA,Yosemite,Yosemite National Park,United States,Group,1,Vacation Rental,Leisure,0,156.21,4.3
149,2018-12-28,12,Winter,West,NV,Las Vegas,The Strip / Casinos / Shows,Other,Couple,1,Resort,Leisure,2,254.22,3.9
150,2018-11-14,11,Autumn,South,FL,Miami,South Beach / Art Deco,United States,Solo,2,Vacation Rental,Leisure,2,176.06,4.3
151,2023-12-15,12,Winter,West,AZ,Grand Canyon,Grand Canyon National Park,United States,Couple,3,Resort,Leisure,3,105.51,4.3
152,2019-12-28,12,Winter,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Group,3,Hotel,Leisure,4,289.1,3.6
153,2023-01-17,1,Winter,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Solo,5,Hostel,Leisure,2,115.15,3.8
154,2023-06-22,6,Summer,West,WY,Yellowstone,Yellowstone National Park,United States,Solo,3,Vacation Rental,Leisure,3,121.36,5.0
155,2022-01-14,1,Winter,West,CA,Los Angeles,Hollywood / Beaches,United States,Family,1,Vacation Rental,Leisure,1,240.28,2.8
156,2018-01-07,1,Winter,South,FL,Miami,South Beach / Art Deco,United States,Group,1,Hotel,Leisure,2,110.04,3.7
157,2024-06-30,6,Summer,Northeast,DC,Washington DC,National Mall / Museums,United States,Family,2,Hotel,Event/Conference,3,184.57,4.1
158,2021-06-11,6,Summer,Northeast,VT,Vermont (Stowe),Fall Foliage / Skiing,United States,Couple,1,Hotel,Business,3,140.5,4.3
159,2018-02-28,2,Winter,Northeast,NY,New York City,Statue of Liberty / Times Square,Other,Couple,1,Hotel,Leisure,5,200.76,3.8
160,2019-01-18,1,Winter,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Group,2,Hotel,Leisure,6,173.15,4.5
161,2021-07-31,7,Summer,West,CA,San Francisco,Golden Gate / Alcatraz,China,Family,1,Hotel,Leisure,2,248.79,5.0
162,2021-04-22,4,Spring,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Group,2,Friends/Family,Leisure,4,212.77,5.0
163,2025-09-09,9,Autumn,South,FL,Miami,South Beach / Art Deco,United States,Family,3,Hotel,Business,2,141.4,3.7
164,2021-09-08,9,Autumn,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Couple,2,Hotel,Leisure,3,257.27,3.9
165,2019-11-27,11,Autumn,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Family,3,Hotel,Leisure,2,223.34,4.5
166,2019-07-01,7,Summer,West,WA,Seattle,Pike Place / Space Needle,United States,Solo,1,Hotel,Leisure,1,205.34,4.1
167,2021-08-06,8,Summer,West,CA,Yosemite,Yosemite National Park,United States,Solo,2,Vacation Rental,Leisure,2,94.2,4.6
168,2021-05-23,5,Spring,West,WA,Seattle,Pike Place / Space Needle,Other,Couple,3,Resort,Event/Conference,3,200.4,4.8
169,2022-01-19,1,Winter,West,AZ,Grand Canyon,Grand Canyon National Park,United States,Family,2,Hotel,Leisure,3,86.31,4.0
170,2018-12-20,12,Winter,West,WA,Seattle,Pike Place / Space Needle,United Kingdom,Couple,1,Hotel,Business,5,209.25,3.6
171,2022-01-15,1,Winter,West,WA,Seattle,Pike Place / Space Needle,India,Group,4,Resort,Leisure,3,226.11,3.7
172,2020-07-17,7,Summer,Northeast,DC,Washington DC,National Mall / Museums,United States,Solo,3,Resort,Education/Research,2,186.53,4.9
173,2023-06-21,6,Summer,Northeast,NY,New York City,Statue of Liberty / Times Square,India,Solo,2,Hotel,Leisure,6,292.06,4.1
174,2020-11-17,11,Autumn,South,FL,Orlando,Walt Disney World / Universal Studios,Other,Solo,3,Hotel,Leisure,3,131.29,4.7
175,2023-06-29,6,Summer,Northeast,VT,Vermont (Stowe),Fall Foliage / Skiing,United Kingdom,Group,1,Resort,Leisure,4,189.42,3.9
176,2025-10-02,10,Autumn,West,AZ,Grand Canyon,Grand Canyon National Park,India,Couple,1,Hotel,Business,2,123.06,5.0
177,2023-08-22,8,Summer,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Couple,3,Vacation Rental,Business,3,224.06,3.2
178,2024-11-23,11,Autumn,Northeast,MA,Boston,Freedom Trail / Harvard,United States,Family,2,Resort,Leisure,4,150.3,3.6
179,2024-11-08,11,Autumn,Northeast,NY,Niagara Falls,Niagara Falls,United States,Couple,2,Hostel,Leisure,3,102.86,5.0
180,2024-10-05,10,Autumn,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Solo,2,Hotel,Business,3,170.97,3.5
181,2019-09-12,9,Autumn,South,FL,Orlando,Walt Disney World / Universal Studios,China,Group,4,Friends/Family,Education/Research,4,147.75,4.3
182,2024-01-11,1,Winter,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Family,3,Friends/Family,Event/Conference,4,274.29,4.1
183,2025-09-02,9,Autumn,West,CA,Yosemite,Yosemite National Park,India,Couple,1,Hotel,Leisure,3,158.68,3.9
184,2022-06-15,6,Summer,Northeast,MA,Boston,Freedom Trail / Harvard,United States,Solo,2,Hostel,Leisure,6,120.5,3.9
185,2019-11-16,11,Autumn,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Family,2,Hotel,Visiting Friends/Family,2,210.7,4.1
186,2025-08-12,8,Summer,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Family,2,Vacation Rental,Leisure,7,167.18,3.7
187,2018-04-22,4,Spring,West,NV,Las Vegas,The Strip / Casinos / Shows,China,Solo,1,Hotel,Event/Conference,4,251.85,4.6
188,2018-10-17,10,Autumn,Northeast,DC,Washington DC,National Mall / Museums,Germany,Couple,1,Hotel,Leisure,1,222.79,2.7
189,2022-08-01,8,Summer,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Solo,1,Hotel,Visiting Friends/Family,1,319.19,3.7
190,2023-06-12,6,Summer,Midwest,IL,Chicago,Millennium Park / Navy Pier,United Kingdom,Family,3,Hotel,Leisure,4,182.33,3.6
191,2023-09-11,9,Autumn,West,AZ,Grand Canyon,Grand Canyon National Park,United States,Family,2,Hotel,Leisure,3,179.87,5.0
192,2024-12-11,12,Winter,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Solo,1,Vacation Rental,Leisure,2,208.83,3.9
193,2024-04-11,4,Spring,Northeast,DC,Washington DC,National Mall / Museums,China,Family,4,Hotel,Business,2,117.9,4.0
194,2020-06-20,6,Summer,Northeast,DC,Washington DC,National Mall / Museums,United States,Group,1,Hotel,Leisure,4,167.26,3.7
195,2020-06-01,6,Summer,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Solo,5,Hotel,Leisure,0,138.66,3.9
196,2019-06-01,6,Summer,West,AZ,Grand Canyon,Grand Canyon National Park,United Kingdom,Couple,1,Vacation Rental,Leisure,3,136.23,4.1
197,2024-09-04,9,Autumn,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Solo,2,Hotel,Leisure,2,133.58,4.2
198,2021-09-10,9,Autumn,Northeast,NY,Niagara Falls,Niagara Falls,Other,Family,1,Hotel,Leisure,1,185.43,4.3
199,2025-03-18,3,Spring,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Solo,1,Camping,Leisure,3,302.29,4.7
200,2021-03-03,3,Spring,Northeast,DC,Washington DC,National Mall / Museums,United States,Family,2,Hotel,Leisure,3,179.79,4.4
